epoch,accuracy,loss,val_accuracy,val_loss
0,0.3656241297721863,1.3236879110336304,0.42939481139183044,1.2697887420654297
1,0.6457237601280212,0.9719876646995544,0.6282420754432678,0.9469419121742249
2,0.7951840758323669,0.5696438550949097,0.6974063515663147,0.7999724745750427
3,0.8508164882659912,0.4102095663547516,0.7060518860816956,0.7880688905715942
4,0.8879047632217407,0.32427477836608887,0.6916426420211792,0.8381218314170837
5,0.9122613072395325,0.2633220851421356,0.6657060384750366,0.8919766545295715
6,0.9319125413894653,0.21542559564113617,0.6829971075057983,0.9377111792564392
7,0.9432604312896729,0.18408304452896118,0.6743515729904175,0.9784634113311768
8,0.951287031173706,0.15456457436084747,0.6858789920806885,0.9946563243865967
9,0.9601439237594604,0.13533587753772736,0.6945244669914246,1.0561844110488892
10,0.9629117250442505,0.11714883893728256,0.6772334575653076,1.144580602645874
11,0.9670633673667908,0.10874699801206589,0.6714697480201721,1.2270007133483887
12,0.9678937196731567,0.0994611531496048,0.680115282535553,1.2022364139556885
13,0.9706615209579468,0.09545620530843735,0.680115282535553,1.2205548286437988
14,0.971491813659668,0.08717582374811172,0.6916426420211792,1.2516885995864868
15,0.9745364189147949,0.08131019026041031,0.6743515729904175,1.3062971830368042
16,0.972045361995697,0.08495011180639267,0.680115282535553,1.3113263845443726
17,0.9748131632804871,0.0787002444267273,0.6772334575653076,1.3351975679397583
18,0.975643515586853,0.0748349279165268,0.6772334575653076,1.316890001296997
19,0.9767506122589111,0.0713568776845932,0.6657060384750366,1.4044264554977417
20,0.9781345129013062,0.06768982857465744,0.6772334575653076,1.388590931892395
21,0.9759202599525452,0.06391017884016037,0.6743515729904175,1.4262043237686157
22,0.9795184135437012,0.06497412919998169,0.6858789920806885,1.4610143899917603
23,0.9809023141860962,0.05649798735976219,0.6916426420211792,1.4800307750701904
24,0.9775809645652771,0.06346764415502548,0.6743515729904175,1.4832860231399536
